kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Other America,892,816,1272,1402,1258,1315,1530,1291,2191,1627,2060,-,-
Antigua & Barbuda,2,2,7,1,2,8,16,4,6,7,3,-,-
Alaska,-,-,-,-,-,-,-,-,-,-,-,-,-
Barbados,3,2,3,9,4,5,1,7,10,20,8,-,-
Bermuda,-,-,-,-,-,-,-,-,-,-,-,-,-
Bahama Islands,5,2,8,11,6,8,16,7,16,15,6,-,-
Dominika,12,13,26,16,4,22,18,20,10,14,11,-,-
Dominika Rep.,8,9,7,10,12,9,24,8,16,12,11,-,-
Grenadines (Grenada),3,1,3,1,1,5,6,2,5,4,4,-,-
Guadelope,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,8,1,6,1,3,10,5,7,4,7,3,-,-
Jamaika,12,12,14,15,12,9,23,19,20,26,20,-,-
Kuba,27,5,15,7,27,28,46,42,47,30,23,-,-
Martinique,-,-,-,-,-,-,-,-,-,-,-,-,-
Mexiko,688,694,1026,1220,1052,1054,1241,1038,1873,1323,1808,-,-
Puertorico,-,-,1,-,-,-,-,-,1,1,-,-,-
St. Christopher,-,-,-,-,-,-,-,-,-,-,-,-,-
St. Kitts & Nevis,5,7,11,15,11,18,21,14,22,10,11,-,-
St. Lucia,2,2,2,2,3,3,3,6,3,8,4,-,-
St. Vincent,1,-,2,1,3,2,3,3,2,5,1,-,-
Trinidad & Tobago,10,7,16,27,26,23,33,23,37,30,27,-,-
UNO,106,59,125,66,92,111,74,91,119,115,120,-,-
TOTAL AMERICA,32883,38579,45595,46300,51234,52556,55192,48790,51860,49821,44745,-,-
Australia,99089,84768,96333,109881,113863,132478,143062,129063,140057,129008,117045,-,-
New Zealand,4926,5460,6514,8931,10468,12337,14647,13300,12176,11053,8243,-,-
Other Oceania,1678,1195,968,297,8641,10299,8147,8678,8866,11153,4730,-,-
Cooks Islands,-,-,-,-,-,-,-,-,-,-,-,-,-
Fiji Islands,76,63,62,35,63,56,57,61,74,86,63,-,-
Guam,-,-,-,-,-,-,-,-,-,-,-,-,-
Kaledonia,4,4,4,-,-,-,-,-,-,-,-,-,-
Karibati (Kiribati),5,2,9,5,14,3,2,1,1,6,2,-,-
Marshall Islands,2,2,1,-,-,-,-,-,1,4,1,-,-
Micronesia Rep.,3,1,3,-,1,-,4,2,-,8,1,-,-
Nauru,12,-,23,-,8,-,1,5,-,1,4,-,-
Niue,-,-,-,-,-,-,-,-,-,-,-,-,-
Palau Rep.,5,2,2,-,3,-,3,4,-,4,2,-,-
Papua New Guinea,1551,1108,832,208,8479,10212,8051,8585,8757,10961,4606,-,-
Polynesia,-,-,-,-,-,-,-,-,-,-,-,-,-
Samoa Barat,-,-,-,-,-,-,-,-,-,-,-,-,-
Samoa,4,-,5,29,18,5,6,1,4,9,7,-,-
Solomon Islands,4,2,12,8,15,7,9,5,16,39,10,-,-
Tonga,5,2,1,2,12,2,2,4,5,17,12,-,-
Tuvalu,3,-,-,-,5,-,1,-,-,4,-,-,-
Vanuatu,4,9,14,10,23,14,11,10,8,14,22,-,-
Walis & Futuna,-,-,-,-,-,-,-,-,-,-,-,-,-
TOTAL OCEANIA,105693,91423,103815,119109,132972,155114,165856,151041,161099,151214,130018,-,-
South Africa,2008,1617,2580,2766,2127,3276,2913,1981,2528,3207,2122,-,-
Other Africa,1613,1952,1828,1683,3267,2688,4428,6419,5022,3955,3492,-,-
Afrika Tengah Rep.,-,2,-,-,1,-,-,6,4,1,-,-,-
Aljazair / Algeria,91,130,109,60,215,199,272,616,527,345,235,-,-
Angola,1,2,6,10,20,9,21,11,10,7,24,-,-
Benin,2,2,2,7,5,8,6,14,12,7,7,-,-
Bostwana,5,6,11,21,8,22,24,18,23,52,16,-,-
Burkina Faso,3,7,33,8,1,16,9,13,16,4,53,-,-
Burkinabe,-,-,-,-,-,-,-,-,-,-,-,-,-
Burundi,-,1,34,-,-,5,9,6,3,2,3,-,-
Cabinda,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape Verde,2,1,1,3,4,-,3,9,2,6,1,-,-
Chad,3,6,4,3,3,-,8,7,10,7,7,-,-
Comoros,1,3,6,4,11,8,3,3,11,8,7,-,-
Congo,5,4,2,8,8,5,7,11,5,2,11,-,-
Congo Rep. Dem.,6,6,6,49,18,9,21,29,11,15,22,-,-
Djibouti,6,6,2,4,8,10,2,4,3,4,4,-,-
Eritrea,6,6,4,6,9,17,13,7,6,8,9,-,-
Ethiopia,21,13,37,20,20,35,95,42,25,68,34,-,-
Gabon,1,3,1,9,7,4,9,7,10,3,6,-,-
Gambia,5,9,8,5,4,10,12,19,20,16,20,-,-
Ghana,26,48,42,41,72,72,63,118,61,80,70,-,-
Guinea,6,2,-,2,4,2,7,8,9,1,9,-,-
Guinea Bissau,-,-,1,1,1,2,3,2,1,-,1,-,-
Guinea Equator,-,-,-,-,-,-,1,2,-,-,-,-,-
Ivory Coast (Pantai Gading),14,2,7,37,10,11,19,43,18,10,19,-,-
Kamerun,2,14,5,11,10,10,10,25,6,22,18,-,-
Kenya,85,95,131,184,197,196,275,337,245,304,359,-,-
Lesotho,-,4,2,1,-,3,-,7,3,1,2,-,-
Liberia,1,4,2,-,2,1,-,7,1,1,1,-,-
Libya,73,83,43,32,93,61,98,143,175,166,134,-,-
Malagasy (Madagascar),4,7,21,7,14,20,33,56,32,35,32,-,-
Malawi,2,1,11,6,8,25,10,4,11,9,19,-,-
Mali,7,8,6,2,12,5,13,17,24,11,60,-,-
Maroko,472,564,379,368,1025,686,1492,2232,1479,984,779,-,-
Maseru,-,-,-,-,-,-,-,-,-,-,-,-,-
Mauritania,1,3,2,5,10,8,13,23,12,11,8,-,-
Mauritius,53,88,115,107,114,110,113,126,137,123,130,0,0
Mozambik,17,8,13,8,44,43,40,35,33,45,35,0,0
Namibia,25,2,15,23,23,23,41,15,24,27,36,0,0
Niger,3,-,2,4,2,4,1,6,1,3,3,0,0
Nigeria,79,155,128,145,126,144,128,147,138,251,142,-,-
Rwanda,2,5,16,11,15,24,11,30,24,17,17,0,0
Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0
